h max_err
-0.30103 -2.6902
-0.60206 -3.29617
-0.778151 -3.64814
-0.90309 -3.8981
-1 -3.58478
-1.07918 -4.25057
-1.14613 -4.38441
-1.20412 -4.50039
-1.25527 -4.60272
-1.30103 -4.1873
-1.34242 -4.27014
-1.38021 -4.85261
-1.41497 -4.41527
-1.44716 -4.98654
-1.47712 -5.04645
-1.50515 -5.10251
-1.53148 -5.15517
-1.5563 -5.20483
-1.57978 -5.25178
-1.60206 -4.7895
-1.62325 -5.33871
-1.64345 -4.87229
-1.66276 -5.41773
-1.68124 -5.4547
-1.69897 -4.98333
-1.716 -5.0174
-1.73239 -5.55701
-1.74819 -5.58859
-1.76343 -5.61908
-1.77815 -5.64853
-1.79239 -5.677
-1.80618 -5.70458
-1.81954 -5.22449
-1.83251 -5.75724
-1.8451 -5.78242
-1.85733 -5.80689
-1.86923 -5.32387
-1.88081 -5.85385
-1.89209 -5.87641
-1.90309 -5.39159
-1.91381 -5.41304
-1.92428 -5.94078
-1.9345 -5.96122
-1.94448 -5.47438
-1.95424 -6.00071
-1.96379 -6.0198
-1.97313 -6.03848
-1.98227 -6.05677
-1.99123 -6.07468
-2 -5.58541
-2.0086 -6.10942
-2.01703 -5.61948
-2.02531 -6.14284
-2.03342 -6.15907
-2.04139 -6.17501
-2.04922 -6.19066
-2.0569 -6.20603
-2.06446 -6.22114
-2.07188 -6.23599
-2.07918 -6.25059
-2.08636 -5.75813
-2.09342 -6.27907
-2.10037 -6.29296
-2.10721 -6.30664
-2.11394 -5.8133
-2.12057 -5.82656
-2.1271 -6.34643
-2.13354 -6.3593
-2.13988 -6.37198
-2.14613 -6.38448
-2.15229 -6.3968
-2.15836 -6.40895
-2.16435 -6.42093
-2.17026 -5.92594
-2.17609 -5.9376
-2.18184 -6.45591
-2.18752 -5.96046
-2.19312 -6.47847
-2.19866 -6.48954
-2.20412 -5.99366
-2.20952 -6.51125
-2.21484 -6.01511
-2.22011 -6.02563
-2.22531 -6.54284
-2.23045 -6.55312
-2.23553 -6.56328
-2.24055 -6.57332
-2.24551 -6.07644
-2.25042 -6.59306
-2.25527 -6.60277
-2.26007 -6.10556
-2.26482 -6.62186
-2.26951 -6.12444
-2.27416 -6.64054
-2.27875 -6.64973
-2.2833 -6.65883
-2.2878 -6.66783
-2.29226 -6.67674
-2.29667 -6.17875
