h max_err
-0.431364 -2.0812
-0.568202 -2.44043
-0.672098 -2.74144
-0.755875 -2.62681
-0.826075 -2.82444
-0.886491 -3.00982
-0.939519 -3.19069
-0.986772 -3.37441
-1.02938 -3.17788
-1.06819 -3.31121
-1.1038 -3.44591
-1.13672 -3.58568
-1.16732 -3.73562
-1.1959 -3.51158
-1.22272 -3.62066
-1.24797 -3.73452
-1.27184 -3.85622
-1.29447 -3.9901
-1.31597 -3.75201
-1.33646 -3.84836
-1.35603 -3.95083
-1.37475 -4.06215
-1.3927 -4.18667
-1.40993 -3.94009
-1.42651 -4.02861
-1.44248 -4.12385
-1.45788 -4.22846
-1.47276 -4.34678
-1.48714 -4.0946
-1.50106 -4.1778
-1.51455 -4.268
-1.52763 -4.36802
-1.54033 -4.48198
-1.55267 -4.22572
-1.56467 -4.30504
-1.57634 -4.39163
-1.58771 -4.48818
-1.59879 -4.5989
-1.60959 -4.33962
-1.62014 -4.41599
-1.63043 -4.49984
-1.64048 -4.59377
-1.65031 -4.70195
-1.65992 -4.44029
-1.66932 -4.51437
-1.67852 -4.59602
-1.68753 -4.68785
-1.69636 -4.79407
-1.70501 -4.53048
-1.71349 -4.60275
-1.72181 -4.68262
-1.72997 -4.77276
-1.73799 -4.87732
-1.74586 -4.61218
-1.75358 -4.68294
-1.76118 -4.76136
-1.76864 -4.85008
-1.77597 -4.9533
