h approx_res analytical_res
1.01 0.0144619 0.0144618
1.02 0.0286401 0.0286399
1.03 0.0425427 0.0425423
1.04 0.0561775 0.056177
1.05 0.069552 0.0695514
1.06 0.0826734 0.0826727
1.07 0.0955487 0.0955479
1.08 0.108185 0.108184
1.09 0.120587 0.120586
1.1 0.132764 0.132763
1.11 0.144719 0.144718
1.12 0.156459 0.156458
1.13 0.16799 0.167989
1.14 0.179317 0.179316
1.15 0.190445 0.190444
1.16 0.201379 0.201378
1.17 0.212125 0.212123
1.18 0.222686 0.222684
1.19 0.233067 0.233065
1.2 0.243272 0.24327
1.21 0.253307 0.253305
1.22 0.263174 0.263172
1.23 0.272878 0.272876
1.24 0.282423 0.282421
1.25 0.291812 0.29181
1.26 0.301049 0.301047
1.27 0.310138 0.310135
1.28 0.319081 0.319079
1.29 0.327883 0.32788
1.3 0.336545 0.336542
1.31 0.345072 0.345069
1.32 0.353466 0.353463
1.33 0.361731 0.361728
1.34 0.369868 0.369865
1.35 0.377881 0.377878
1.36 0.385772 0.385769
1.37 0.393544 0.393541
1.38 0.401199 0.401196
1.39 0.40874 0.408737
1.4 0.41617 0.416166
1.41 0.423489 0.423486
1.42 0.430701 0.430698
1.43 0.437808 0.437805
1.44 0.444812 0.444809
1.45 0.451715 0.451711
1.46 0.458518 0.458515
1.47 0.465225 0.465221
1.48 0.471836 0.471832
1.49 0.478353 0.478349
1.5 0.484779 0.484775
1.51 0.491115 0.491111
1.52 0.497362 0.497358
1.53 0.503523 0.503519
1.54 0.509599 0.509595
1.55 0.515591 0.515587
1.56 0.521501 0.521497
1.57 0.527331 0.527327
1.58 0.533082 0.533078
1.59 0.538755 0.538751
1.6 0.544352 0.544348
1.61 0.549874 0.54987
1.62 0.555322 0.555318
1.63 0.560699 0.560694
1.64 0.566004 0.565999
1.65 0.571239 0.571234
1.66 0.576405 0.576401
1.67 0.581504 0.5815
1.68 0.586536 0.586532
1.69 0.591504 0.591499
1.7 0.596407 0.596402
1.71 0.601247 0.601242
1.72 0.606024 0.60602
1.73 0.610741 0.610737
1.74 0.615398 0.615393
1.75 0.619995 0.619991
1.76 0.624535 0.62453
1.77 0.629016 0.629012
1.78 0.633442 0.633438
1.79 0.637812 0.637808
1.8 0.642128 0.642123
1.81 0.646389 0.646385
1.82 0.650598 0.650594
1.83 0.654755 0.65475
1.84 0.65886 0.658855
1.85 0.662915 0.66291
1.86 0.666919 0.666915
1.87 0.670875 0.670871
1.88 0.674783 0.674778
1.89 0.678642 0.678638
1.9 0.682455 0.682451
1.91 0.686222 0.686217
1.92 0.689943 0.689938
1.93 0.693619 0.693614
1.94 0.697251 0.697246
1.95 0.700839 0.700834
1.96 0.704384 0.70438
1.97 0.707887 0.707882
1.98 0.711348 0.711343
1.99 0.714768 0.714763
2 0.718147 0.718142
2.01 0.721486 0.721481
2.02 0.724785 0.724781
2.03 0.728045 0.728041
2.04 0.731267 0.731263
2.05 0.734452 0.734447
2.06 0.737598 0.737594
2.07 0.740708 0.740703
2.08 0.743781 0.743777
2.09 0.746818 0.746814
2.1 0.74982 0.749816
2.11 0.752787 0.752783
2.12 0.75572 0.755715
2.13 0.758618 0.758613
2.14 0.761482 0.761478
2.15 0.764314 0.764309
2.16 0.767112 0.767108
2.17 0.769879 0.769874
2.18 0.772613 0.772609
2.19 0.775316 0.775312
2.2 0.777988 0.777983
2.21 0.780629 0.780624
2.22 0.783239 0.783235
2.23 0.78582 0.785815
2.24 0.788371 0.788367
2.25 0.790893 0.790888
2.26 0.793385 0.793381
2.27 0.79585 0.795846
2.28 0.798286 0.798282
2.29 0.800695 0.800691
2.3 0.803076 0.803072
2.31 0.80543 0.805425
2.32 0.807757 0.807753
2.33 0.810057 0.810053
2.34 0.812332 0.812328
2.35 0.81458 0.814576
2.36 0.816803 0.816799
2.37 0.819001 0.818997
2.38 0.821174 0.82117
2.39 0.823322 0.823318
2.4 0.825446 0.825442
2.41 0.827546 0.827542
2.42 0.829622 0.829618
2.43 0.831674 0.831671
2.44 0.833704 0.8337
2.45 0.83571 0.835706
2.46 0.837694 0.83769
2.47 0.839655 0.839651
2.48 0.841594 0.84159
2.49 0.843511 0.843508
2.5 0.845407 0.845403
2.51 0.847281 0.847277
2.52 0.849134 0.84913
2.53 0.850966 0.850962
2.54 0.852777 0.852774
2.55 0.854568 0.854565
2.56 0.856339 0.856335
2.57 0.858089 0.858086
2.58 0.85982 0.859817
2.59 0.861532 0.861528
2.6 0.863224 0.86322
